,Barometer,Temp,NO,PM-10,RH,Radiation,WindDir,SO2,NOx,NO2,Compass,PM-2-5,CO,PM-1,O3,Wind Spd,TSP,time,WinDir1,Temp1,ASKQ,Wind Spd (sai)
0,1010.28,25.55,18.57,18.12,98.55,0.01,188.88,19.17,68.232,78.45,264.66,7.48,461.82,3.43,-17.17,1.48,31.02,2019-04-14 07:00:00,124.55348933894379,26.570572250199316,1004.5579668260443,0.7806910929691
1,1011.21,25.17,11.61,17.25,99.62,32.83,194.24,13.49,48.492,58.17,264.66,7.63,595.4,3.43,-3.7,1.55,31.13,2019-04-14 08:00:00,134.95659788406556,26.069825233696104,1004.7308401907467,0.7797594496929605
2,1012.36,25.86,8.79,12.04,97.46,311.73,108.6,6.68,30.564,34.38,265.0,5.31,553.42,2.43,3.09,1.24,21.29,2019-04-14 09:00:00,141.06928808198586,26.552454113037033,1004.5156303622035,0.9855255126762898
3,1012.66,27.67,11.33,10.91,88.45,532.91,119.74,5.77,30.996,31.16,265.0,4.48,446.55,2.14,8.6,1.78,19.24,2019-04-14 10:00:00,138.28739879384761,28.677136684054677,1003.87753206915,1.3651195773298426
4,1012.78,29.14,5.5,8.91,77.99,610.51,116.88,5.72,23.676,28.68,265.0,3.68,435.1,1.87,33.08,1.56,18.48,2019-04-14 11:00:00,137.2804056430523,30.667563221288493,1003.1753027628331,1.7248240723123587
5,1011.23,29.41,13.53,12.03,78.18,343.47,119.9,8.68,47.448,53.6,265.0,5.03,408.38,2.49,14.88,1.4,23.25,2019-04-14 12:00:00,124.27958122855762,30.84715911923675,1002.9820089299459,1.5926293472954498
6,1009.65,28.91,7.02,13.06,81.86,124.37,124.78,9.71,41.784,54.71,264.32,5.37,450.37,2.6,6.7,1.61,27.16,2019-04-14 13:00:00,126.64449889683613,29.777010470092463,1003.4259524177331,1.431936457942811
7,1009.69,28.87,4.49,10.76,83.69,254.85,138.83,6.47,16.872,19.55,264.65,4.69,362.58,2.18,7.36,2.65,21.91,2019-04-14 14:00:00,141.1317189432209,29.499672409347912,1003.841335417153,1.6158000745652998
8,1009.71,28.83,4.67,12.42,84.64,209.75,136.05,3.11,12.24,12.02,265.0,4.43,301.52,2.07,3.21,2.26,24.97,2019-04-14 15:00:00,145.95581019215035,29.372801408483962,1003.8233655005496,1.6008912314403716
9,1008.63,28.51,4.06,14.29,85.59,79.3,124.73,1.88,14.172,15.98,265.0,4.39,343.5,1.99,-0.35,1.45,29.58,2019-04-14 16:00:00,146.4310801062254,29.059004311243676,1003.7565396322158,1.4719991415221259
